"Atrial cardiomyocytes","Capillary endothelium","Cardiac neural crest cells & Schwann progenitor cells","Endothelium / pericytes / adventitia","Epicardial cells","Epicardium-derived cells","Fibroblast-like (related to cardiac skeleton connective tissue)","Fibroblast-like (related to larger vascular development)","Fibroblast-like (related to smaller vascular development)","Myoz2-enriched cardiomyocytes","Smooth muscle cells / fibroblast-like)","Ventricular cardiomyocytes"
"2043_8692",0.0158954861423361,3.15404895926409e-09,0.0607490315398547,1.83399219508067e-09,0.00242141947927491,1.86714183168841e-08,8.55056510085999e-09,2.29400417831692e-08,0.116903697194629,0.0509236812497151,6.83045839434058e-09,0.753106622413665
"2043_9116",0.0751791275050153,0.0110138470332996,1.36013258033631e-09,2.25520367705536e-10,0.00791428741860197,0.036638056618932,3.31226793227578e-10,4.84895290167433e-10,0.0919310356582682,0.048908969473385,2.14671045903541e-10,0.728414673676052
"2043_9540",0.00969340591169254,8.77212825211749e-09,3.01015703749329e-06,0.00273139126991145,8.77802016647333e-09,1.30795522445503e-08,6.05407359345999e-09,9.08492238279677e-09,0.048009857501346,0.0340727985901199,2.35509744408247e-09,0.905489488446098
"2043_9964",0.0606886141034845,6.16101799159513e-10,6.99982610885497e-09,4.01048992785417e-10,0.00322653725144244,2.27804789780381e-09,1.46356060217235e-09,5.24502070084989e-09,0.179750842437903,0.0285619333456871,8.75819200049674e-10,0.727772054982058
"2043_10388",1.5702841107225e-05,2.56467354411566e-06,5.8613452824794e-06,1.72058265873579e-06,0.00490968308600003,7.26344409349953e-06,5.23412189170976e-06,7.03717182482342e-06,0.186188142109544,4.27363570321902e-05,2.88762111167988e-06,0.808811166645909
"2043_10812",0.0412090233997747,0.00331988486268714,0.0522147727758312,3.84474158529622e-07,0.0162039550323619,4.38584772481255e-08,8.63049285333353e-08,5.5567112129605e-08,0.0854665096817209,0.198444338963614,1.6170201868486e-08,0.603140928909131
"2043_11236",6.76292643030173e-08,2.27235921702871e-08,0.0682241362988208,0.0260322042187344,4.19124069370931e-08,1.25236370417321e-07,5.01024491027003e-08,0.112725011126485,0.183784717532794,0.198069794695754,3.12183279193699e-08,0.411163797305002
"2043_11660",0.0272199493508992,2.35560517164205e-09,1.92857740149373e-08,2.60429326905266e-09,0.0137168544688004,6.44065380997439e-09,4.43963817661074e-09,9.96084407121937e-09,0.0451088594778555,0.305445331801543,6.1381807741295e-09,0.608508953675912
"2043_12084",0.00749899396839173,2.45208098723285e-07,0.131964948301322,1.69471540013279e-07,4.25247407428367e-07,8.52543187105741e-07,6.0740427892482e-07,3.76802851883491e-06,0.0323475969553107,0.00883612412394467,3.45405296182028e-07,0.819345923342704
"2043_12508",0.032942816616903,0.0127550211848243,0.00528692156671632,1.40928972405425e-08,0.0120026247652289,1.48074135637531e-08,6.5171110896265e-09,0.115736368282928,0.0945968948041364,0.139350343590962,3.66021577604379e-09,0.587328970110664
